index,column,non_null_count,null_count,null_percentage
id,id,500,0,0.0
area_desc,area_desc,500,0,0.0
event,event,500,0,0.0
severity,severity,500,0,0.0
certainty,certainty,500,0,0.0
urgency,urgency,500,0,0.0
headline,headline,409,91,18.2
description,description,498,2,0.4
instruction,instruction,410,90,18.0
sent,sent,500,0,0.0
effective,effective,500,0,0.0
expires,expires,500,0,0.0
status,status,500,0,0.0
message_type,message_type,500,0,0.0
sender_name,sender_name,500,0,0.0
web,web,498,2,0.4
geometry_type,geometry_type,201,299,59.8
expiration_status,expiration_status,500,0,0.0
